id,author,title,year,journal,doi,pmid,abstract
608,"Zenner D., Beer N., Harris R.J., Lipman M.C., Stagg H.R., Van Der Werf M.J.",Treatment of latent tuberculosis infection: An updated network meta-analysis,2017,Annals of Internal Medicine,10.7326/M17-0609,28761946,"Background: Treatment of latent tuberculosis infection (LTBI) is an important component of tuberculosis (TB) control, and this study updates a previous network meta-analysis of the best LTBI treatment options to inform public health action and programmatic management of LTBI. Purpose: To evaluate the comparative efficacy and harms of LTBI treatment regimens aimed at preventing active TB among adults and children. Data Sources: PubMed, Embase, and Web of Science from indexing to 8 May 2017; clinical trial registries; and conference abstracts. No language restrictions were applied. Study Selection: Randomized controlled trials that evaluated human LTBI treatments and recorded at least 1 of 2 prespecified end points (hepatotoxicity and prevention of active TB). Data Extraction: 2 investigators independently extracted data from eligible studies and assessed study quality according to a standard protocol. Data Synthesis: The network meta-analysis of 8 new and 53 previously included studies showed that isoniazid regimens of 6 months (odds ratio [OR], 0.65 [95% credible interval {CrI}, 0.50 to 0.83]) or 12 to 72 months (OR, 0.50 [CrI, 0.41 to 0.62]), rifampicin-only regimens (OR, 0.41 [CrI, 0.19 to 0.85]), rifampicin-isoniazid regimens of 3 to 4 months (OR, 0.53 [CrI, 0.36 to 0.78]), rifampicin-isoniazid-pyrazinamide regimens (OR, 0.35 [CrI, 0.19 to 0.61]), and rifampicin-pyrazinamide regimens (OR, 0.53 [CrI, 0.33 to 0.84]) were efficacious compared with placebo. Evidence existed for efficacy of weekly rifapentine-isoniazid regimens compared with no treatment (OR, 0.36 [CrI, 0.18 to 0.73]). No conclusive evidence showed that HIV status altered treatment efficacy. Limitation: Evidence was sparse for many comparisons and hepatotoxicity outcomes, and risk of bias was high or unknown for many studies. Conclusion: Evidence exists for the efficacy and safety of 6-month isoniazid monotherapy, rifampicin monotherapy, and combination therapies with 3 to 4 months of isoniazid and rifampicin. ? 2017 American College of Physicians."
609,"Campos Coelho A.V., Crovella S.",Microcephaly prevalence in infants born to zika virus-infectedwomen: A systematic review and meta-analysis,2017,International Journal of Molecular Sciences,10.3390/ijms18081714,28783051,"Zika virus is an emergent flavivirus transmitted by Aedes genus mosquitoes that recently reached the Americas and was soon implicated in an increase of microcephaly incidence. The objective of the present study is to systematically review the published data and perform a meta-analysis to estimate the prevalence of microcephaly in babies born to Zika virus-infected women during pregnancy. We searched PubMed and Cochrane databases, included cohort studies, and excluded case reports and case series publications. We extracted sample sizes and the number of microcephaly cases from eight studies, which permitted a calculation of prevalence rates that are pooled in a random-effects model meta-analysis. We estimated the prevalence of microcephaly of 2.3% (95% CI = 1.0-5.3%) among all pregnancies. Limitations include mixed samples of women infected at different pregnancy times, since it is known that infection at the first trimester is associated with higher risk to congenital anomalies. The estimates are deceptively low, given the devastating impact the infection causes over children and their families. We hope our study contributes to public health knowledge to fight Zika virus epidemics to protect mothers and their newborns. ? 2017 by the authors. Licensee MDPI, Basel, Switzerland."
610,"Malisheni M., Khaiboullina S.F., Rizvanov A.A., Takah N., Murewanhema G., Bates M.","Clinical efficacy, safety, and immunogenicity of a live attenuated tetravalent dengue vaccine (CYD-TDV) in children: A systematic review with meta-analysis",2017,Frontiers in Immunology,10.3389/fimmu.2017.00863,,"Background: Dengue hemorrhagic fever is the leading cause of hospitalization and death in children living in Asia and Latin America. There is an urgent need for an effective and safe dengue vaccine to reduce morbidity and mortality in this high-risk population given the lack of dengue specific treatment at present. This review aims to determine the efficacy, safety, and immunogenicity of CYD-TDV vaccine in children. Methods: This is a systematic review including meta-analysis of randomized controlled clinical trial data from Embase, Medline, the Cochrane Library, Web of Science, and ClinicalTrials.gov. Studies that assessed CYD-TDV vaccine efficacy [(1 - RR)*100], safety (RR), and immunogenicity (weighted mean difference) in children were included in this study. Random effects model was employed to analyze patient-level data extracted from primary studies. Results: The overall efficacy of CYD-TDV vaccine was 54% (40-64), while serotype-specific efficacy was 77% (66-85) for DENV4, 75% (65-82) for DENV3, 50% (36-61) for DENV1, and 34% (14-49) for DENV2. 15% (-174-74) vaccine efficacy was obtained for the unknown serotype. Meta-analysis of included studies with longer follow-up time (25 months) revealed that CYD-TDV vaccine significantly increased the risk of injection site reactions (RR = 1.1: 1.04-1.17; p-value = 0.001). Immunogenicity (expressed as geometric mean titers) in descending order was 439.7 (331.7-547.7), 323 (247 - 398.7), 144.1 (117.9-170.2), and 105 (88.7-122.8) for DENV3, DENV2, DENV1, and DENV4, respectively. Conclusion: CYD-TDV vaccine is effective and immunogenic in children overall. Reduced efficacy of CYD-TDV vaccine against DENV2 notoriously known for causing severe dengue infection and dengue outbreaks cause for serious concern. Post hoc meta-analysis of long-term follow-up data (?25 months) from children previously vaccinated with CYD-TDV vaccine is needed to make a conclusion regarding CYD-TDV vaccine safety in children. However, CYD-TDV vaccine should be considered for use in regions where DENV2 is not endemic as currently there is no specific treatment for dengue infection. ? 2017 Malisheni, Khaiboullina, Rizvanov, Takah, Murewanhema and Bates."
611,"Gagnaire J., Verhoeven P.O., Grattard F., Rigaill J., Lucht F., Pozzetto B., Berthelot P., Botelho-Nevers E.",Epidemiology and clinical relevance of Staphylococcus aureus intestinal carriage: a systematic review and meta-analysis,2017,Expert Review of Anti-Infective Therapy,10.1080/14787210.2017.1358611,28726558,"Introduction: Recent data highlight the importance of screening more than one site for improving the detection of S. aureus colonization. Intestinal carriage is frequently under-investigated and its clinical impact ought to be defined a better way. Areas covered: This review and meta-analysis provide an updated overview of prevalence, characteristics and clinical significance of S. aureus intestinal carriage in different populations, both for methicillin-susceptible and -resistant S. aureus strains. Expert commentary: Intestinal S. aureus carriage is documented with higher prevalence in children and in patients with S. aureus skin and soft tissue infections. This site of colonization was shown to be associated with a high risk of dissemination in the environment and with S. aureus infection. Intestinal carriage is frequently retrieved in nasal carriers, reflecting probably an association with a high bacterial load. Exclusive intestinal carriage present in one third of intestinal carriers can be associated with infection. Comparative genotyping analysis of different strains from nasal and extra-nasal sites of carriage, including the intestinal ones, in the same individuals, would allow a better comprehension of the pathophysiology of S. aureus endogenous infection. It could also permit to improve the prevention of these infections by decolonization of sites implicated in infection genesis. ? 2017 Informa UK Limited, trading as Taylor & Francis Group."
612,Orsini J.A.,Meta-Analysis of Clinical Factors Affecting Synovial Structure Infections and Prognosis,2017,Journal of Equine Veterinary Science,10.1016/j.jevs.2017.01.018,,"Synovial structures–joints, tendon sheaths and bursa–infections carry a poor prognosis and are career limiting for the equine athlete if prompt recognition and treatments are delayed. Early rigorous intervention and targeted therapy is required when any of these synovial structures are affected. Treatment includes large-volume lavage and local and/or regional antimicrobials in addition to systemic antimicrobial therapy. ? 2017 Elsevier Inc."
613,"Yang Z., Wu Q., Liu Y., Fan D.",Effect of Perioperative Probiotics and Synbiotics on Postoperative Infections after Gastrointestinal Surgery: A Systematic Review with Meta-Analysis,2017,Journal of Parenteral and Enteral Nutrition,10.1177/0148607116629670,26950947,"Background: Bacterial infection following gastrointestinal surgery remains a common morbidity. The aim of this study was to estimate the effect of the perioperative use of probiotics and synbiotics on postoperative infections. Materials and Methods: We searched PubMed, Embase, and the Cochrane Library to identify pertinent randomized controlled trials (RCTs). The primary outcome was postoperative infection rate. The secondary outcomes were length of hospital and intensive care unit (ICU) stay, length of antibiotic therapy, and mortality. The pooled outcomes were calculated using random effects models. Results: Twenty-eight RCTs involving 2511 patients were included in this systematic review. The incidence of infectious complications was lower among patients who received probiotics/synbiotics than among the controls (odds ratio [OR] = 0.35; 95% confidence interval [CI], 0.24-0.50), particularly regarding respiratory (OR = 0.44; 95% CI, 0.28-0.68), urinary tract (OR = 0.30; 95% CI, 0.16-0.55), and wound infections (OR = 0.58; 95% CI, 0.42-0.80). The lengths of hospital stay (mean difference [MD] = -3.20; 95% CI, -4.87 to -1.54) and duration of antibiotic therapy (MD = -3.40; 95% CI, -4.67 to -2.13) were shorter for patients who received probiotics/synbiotics than for controls. There were no significant differences in mortality (OR = 1.19; 95% CI, 0.52-2.74) or length of ICU stay (MD = -0.46; 95% CI, -1.07 to 0.14) between the compared groups. Conclusion: Probiotics and synbiotics may prevent postoperative infections in patients undergoing gastrointestinal surgery. However, the results need to be interpreted with caution due to the risk of bias in the included studies and the potential publication bias. ? 2016 American Society."
614,"Zhang D., Wang X.-C., Yang Z.-X., Gan J.-X., Pan J.-B., Yin L.-N.",Preoperative chlorhexidine versus povidone-iodine antisepsis for preventing surgical site infection: A meta-analysis and trial sequential analysis of randomized controlled trials,2017,International Journal of Surgery,10.1016/j.ijsu.2017.06.001,28583892,"Backgrounds Updated guidelines for surgical site infections (SSIs) suggested that chlorhexidine (CH) or povidone-iodine (PVI) product was equally appropriate to be applied in preoperative disinfection, but which one was optimal remained ambiguous. Moreover, recent studies reported inconsistent results. Thus, an updated meta-analysis was conducted to clarify the superiority of CH or PVI for prevention of SSIs in clean and clean-contaminated surgery. Methods From the inception to November 2016, Pubmed, Embase, and the Cochrane library were systematically searched for randomized controlled trials (RCTs) which explored preoperative antisepsis schemes (CH or PVI) for prevention of SSIs in clean and clean-contaminated surgery. Relative risks (RRs) with 95% confidence interval (CI) were calculated using random effects model. Furthermore, subgroup analysis, sensitive analysis, and trial sequential analysis (TSA) were applied to estimate whether overall pooled effect was enough credible and robust. Results Thirteen RCTs involving 6997 patients (3352 in CH and 3645 in PVI group) undergoing clean and clean-contaminated surgeries were included in our meta-analysis. Compared with PVI, preoperative CH antisepsis was associated with lower incidence of SSIs (RR, 0.70; 95%CI, 0.60–0.83, I2 = 0). Additionally, subgroup analysis, sensitive analysis, and TSA indicated that the current available evidence was reliable and robust. Conclusions CH should be more preferentially recommended for preoperative skin preparation as compared with PVI in clean and clean-contaminated surgery. ? 2017"
615,"Tang G., Yin W., Liu W.",Is frozen fecal microbiota transplantation as effective as fresh fecal microbiota transplantation in patients with recurrent or refractory Clostridium difficile infection: A meta-analysis?,2017,Diagnostic Microbiology and Infectious Disease,10.1016/j.diagmicrobio.2017.05.007,28602517,"Fecal microbiota transplantation (FMT) is a remarkably efficacious therapy for recurrent or refractory Clostridium difficile infection (CDI), but not standardized. This work is to determine whether frozen FMT is as effective as fresh FMT. Meta-analysis showed that frozen FMT was as effective as fresh FMT, both pooled first effective rate (65.0% (95% CI 57.0–73.0%) vs. 65.0% (95% CI 57.0–73.0%), P?=?0.962) and pooled second effective rate (95.0% (95% CI 91.0–99.0%) vs. 95.0% (95% CI 92.0–99.0%), P?=?0.880). In conclusion, among patients with recurrent or refractory CDI, frozen FMT is as effective as fresh FMT. Considering potential advantages of performing frozen FMT, it is a reasonable option to select frozen FMT. ? 2017 Elsevier Inc."
616,"Lim R.B.T., Tham D.K.T., Cheung O.N.Y., Wong M.L.",Efficacy of Human Immunodeficiency Virus/Sexually Transmitted Infection Prevention Interventions Targeting Female Entertainment Workers: A Systematic Review and Meta-analysis,2017,AIDS and Behavior,10.1007/s10461-016-1600-x,27832389,"Female entertainment workers (FEWs) working in karaoke lounges, bars, pubs, nightclubs, discotheques, dance halls, massage parlours, restaurants (as hostesses or singers) and beer gardens are at high risk for human immunodeficiency virus (HIV)/sexually transmitted infection (STI). The aim of the systematic review and meta-analysis is to evaluate the efficacy of HIV/STI intervention programmes targeting FEWs. Among the 14 included studies, majority were in Asia and targeted native FEWs. Most studies were quasi-experimental and the overall quality was relatively low. While most studies employed only behavioural strategies, structural interventions were the least common. In studies with structural interventions, there was a preference for behavioural and biomedical-based outcome measurements rather than structural-related indicators. FEWs in the intervention group were significantly more likely to report condom use with paying (odds ratio OR 1.7; 95% CI 1.0–2.9, p 0.04), but not with regular (OR 1.0; 95% CI 0.8–1.3, p 0.84) partner than the control/comparison group post-intervention. ? 2016, Springer Science+Business Media New York."
617,"Foroutan M., Dalvand S., Khademvatan S., Majidiani H., Khalkhali H., Masoumifard S., Shamsaddin G.",A systematic review and meta-analysis of the prevalence of Leishmania infection in blood donors,2017,Transfusion and Apheresis Science,10.1016/j.transci.2017.07.001,28754214,"Background The risk of transfusion transmitted leishmaniasis (TTL) from apparently healthy persons or asymptomatic individuals, should not be ignored. Lack of a comprehensive review, encouraged us to design a systematic review with meta-analysis approach to assess the prevalence of Leishmania infection in healthy blood donors. Methods For this purpose, 6 English databases (PubMed, Scopus, Web of Sciences, Science Direct, EMBASE and CINAHL) were browsed from January 1990 to July 2016. Results Due to significant heterogeneity, the random-effects model was used (I2 = 98.04% and 94.68%, for serological and molecular methods, respectively). A total of 496 papers were found through searching in which 17,816 apparently healthy blood donors were examined for Leishmania infection. The weighted overall prevalence of Leishmania infection in this group was estimated 4% (95% CI = 2–7) and 8.7% (95% CI = 4.2–14.3) using serological and molecular methods, respectively. Conclusions High serological prevalence does not justify widespread donor screening. Leukodepletion filters would substantially decrease the risk of TTL, hence they are potentially proposed in endemic areas specifically for high-risk recipients. To better enlighten the epidemiological aspects of Leishmania infection in blood donors, it is suggested to perform high-level stewardship and more precise studies with regard to involved risk factors. ? 2017 Elsevier Ltd"
618,"Li B., Chen F., Liu Y., Xu G.",Synovial Fluid α-Defensin as a Biomarker for Peri-Prosthetic Joint Infection: A Systematic Review and Meta-Analysis,2017,Surgical Infections,10.1089/sur.2017.006,28686144,"Background: Total joint arthroplasty (TJA) has been one of the most beneficial interventions for treating patients suffering from joint disorders. However, peri-prosthetic joint infection (PJI) is a serious complication that often accompanies TJA and the diagnosis of PJI is remains difficult. Questions remain regarding whether certain biomarkers can be valuable in the diagnosis of PJI. Patients and Methods: We conducted our systematic review by searching PubMed, Embase, Web of Science, the Cochrane Library, and Science Direct with the key words ""periprosthetic joint infection,"" ""synovial fluid,"" and ""α-defensin."" Studies that provided sufficient data to construct 2 × 2 contingency tables were chosen based on inclusion and exclusion criteria. The quality of included studies was assessed according to the revised Quality Assessment of Diagnostic Accuracy Studies (QUADAS-2) criteria. The pooled sensitivity, specificity, and diagnostic odds ratio (DOR) were calculated for the included studies. The summary receiver operating characteristic (SROC) curve and the area under the summary receiver operating characteristic (AUSROC) were used to evaluate the overall diagnostic performance. Results: Eight studies were included in this systematic review. Among them four articles were included in meta-analysis. A total of 421 participants were studied in the meta-analysis. The pooled sensitivity, specificity, and DOR were 0.98 (95% confidence interval [CI]: 0.94-1.00), 0.97 (95% CI: 0.95-0.99), and 1095.49 (95% CI: 283.68.58-4230.45), respectively. The AUSROC was 0.9949 (standard error [SE] 0.0095). Conclusion: Synovial fluid α-defensin is a biomarker of high sensitivity and specificity for the diagnosis of PJI. ? 2017, Mary Ann Liebert, Inc. 2017."
619,"Chalhoub J.M., Rimmani H.H., Gumaste V.V., Sharara A.I.",Systematic Review and Meta-analysis: Adalimumab Monotherapy Versus Combination Therapy with Immunomodulators for Induction and Maintenance of Remission and Response in Patients with Crohn's Disease,2017,Inflammatory Bowel Diseases,10.1097/MIB.0000000000001203,28719541,"Background: It is unclear whether the combination of adalimumab (ADA) and immunomodulators is superior to ADA monotherapy in patients with Crohn's disease. Methods: PubMed, Medline, Embase, Web of Science, and other databases were searched. Randomized controlled trials, open-label, prospective cohort, and retrospective studies, and pooled analyses were included. Primary outcomes were induction (?12 wk) and maintenance (up to 56 wk) of remission and response. Secondary outcomes were severe adverse events, opportunistic infections, and development of antibodies to adalimumab. Results: Twenty-four of 1194 articles were eligible for inclusion. No significant difference was noted between regimens for induction of remission (odds ratio [OR] 0.86; 95% confidence interval [CI]: 0.70-1.06; P = 0.19) and response (OR 1.01; 95% CI: 0.62-1.65; P = 0.96). Similarly, no difference was noted for maintenance of remission (OR 0.97; 95% CI: 0.79-1.14; P = 0.75) or response (OR 0.91; 95% CI: 0.54-1.54; P = 0.74). Severe adverse events and opportunistic infections were not different between arms. Patients on combination therapy had lower odds of developing antibodies to adalimumab (OR 0.24; 95% CI: 0.07-0.82; P = 0.02). Subgroup and sensitivity analyses showed significantly higher odds of successful induction (OR 1.26; 95% CI: 1.06-1.49, P = 0.008) and opportunistic infections (OR 2.44; 95% CI: 1.07-5.54, P = 0.03) in anti-TNF-experienced patients. Conclusions: The combination of ADA and immunomodulators does not seem superior to ADA monotherapy for induction and maintenance of remission and response in Crohn's disease. Combination therapy is associated with lower immunogenicity. Analyses associating combination therapy with better induction of remission in anti-TNF-experienced patients and a higher rate of opportunistic infections deserve further evaluation. Copyright ? 2017 Crohn's & Colitis Foundation."
620,"Berner K., Morris L., Baumeister J., Louw Q.",Objective impairments of gait and balance in adults living with HIV-1 infection: A systematic review and meta-analysis of observational studies,2017,BMC Musculoskeletal Disorders,10.1186/s12891-017-1682-2,28764704,"Background: Gait and balance deficits are reported in adults with HIV infection and are associated with reduced quality of life. Current research suggests an increased fall-incidence in this population, with fall rates among middle-aged adults with HIV approximating that in seronegative elderly populations. Gait and postural balance rely on a complex interaction of the motor system, sensory control, and cognitive function. However, due to disease progression and complications related to ongoing inflammation, these systems may be compromised in people with HIV. Consequently, locomotor impairments may result that can contribute to higher-than-expected fall rates. The aim of this review was to synthesize the evidence regarding objective gait and balance impairments in adults with HIV, and to emphasize those which could contribute to increased fall risk. Methods: This review followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. An electronic search of published observational studies was conducted in March 2016. Methodological quality was assessed using the NIH Quality Assessment Tool for Observational Cohort and Cross-Sectional Studies. Narrative synthesis of gait and balance outcomes was performed, and meta-analyses where possible. Results: Seventeen studies were included, with fair to low methodological quality. All studies used clinical tests for gait-assessment. Gait outcomes assessed were speed, initiation-time and cadence. No studies assessed kinetics or kinematics. Balance was assessed using both instrumented and clinical tests. Outcomes were mainly related to center of pressure, postural reflex latencies, and timed clinical tests. There is some agreement that adults with HIV walk slower and have increased center of pressure excursions and -long loop postural reflex latencies, particularly under challenging conditions. Conclusions: Gait and balance impairments exist in people with HIV, resembling fall-associated parameters in the elderly. Impairments are more pronounced during challenging conditions, might be associated with disease severity, are not influenced by antiretroviral therapy, and might not be associated with peripheral neuropathy. Results should be interpreted cautiously due to overall poor methodological quality and heterogeneity. Locomotor impairments in adults with HIV are currently insufficiently quantified. Future research involving more methodological uniformity is warranted to better understand such impairments and to inform clinical decision-making, including fall-prevention strategies, in this population. ? 2017 The Author(s)."
621,"Baeriswyl M., Kirkham K.R., Jacot-Guillarmod A., Albrecht E.",Efficacy of perineural vs systemic dexamethasone to prolong analgesia after peripheral nerve block: A systematic review and meta-analysis,2017,British Journal of Anaesthesia,10.1093/bja/aex191,,"Perineural dexamethasone has gained popularity in regional anaesthesia to prolong the duration of analgesia, but its advantage over systemic administration is disputed. The objective of this meta-analysis was to compare the analgesic efficacy of both routes of administration during peripheral nerve block. The methodology followed the PRISMA statement guidelines. The primary outcome was the duration of analgesia analysed according to the type of local anaesthetic administered (bupivacaine or ropivacaine). Secondary outcomes included cumulative opioid consumption in morphine i.v. equivalents, pain scores, and complication rates (neurological complications, infection, or hyperglycaemia). Eleven controlled trials, including 914 patients, were identified. The duration of analgesia was significantly increased with perineural dexamethasone vs systemic dexamethasone by a mean difference of 3h [95% confidence interval (CI): 1.4, 4.5 h; P0.0001]. Subgroup analysis revealed that the duration of analgesia was increased by 21% with bupivacaine (mean difference: 4.0 h; 95% CI: 2.8, 5.2 h; P<0.00001) and 12% with ropivacaine (mean difference: 2.0 h; 95% CI: 0.5, 4.5 h; P0.11). The quality of evidence for our primary outcome was moderate according to the GRADE system. There were no significant differences in other secondary outcomes. No neurological complications or infections were reported. Glucose concentrations were not increased when dexamethasone was injected systemically, but this outcome was reported by only two trials. There is, therefore, moderate evidence that perineural dexamethasone combined with bupivacaine, but not ropivacaine, slightly prolongs the duration of analgesia, without an impact on other pain-related outcomes, when compared with systemic dexamethasone. Injection of perineural dexamethasone should be cautiously balanced in light of the off-label indication for this route of administration. ? The Author 2017. Published by Oxford University Press."
622,"Zadegan S.A., Abedi A., Jazayeri S.B., Nasiri Bonaki H., Jazayeri S.B., Vaccaro A.R., Rahimi-Movaghar V.",Bone Morphogenetic Proteins in Anterior Cervical Fusion: A Systematic Review and Meta-Analysis,2017,World Neurosurgery,10.1016/j.wneu.2017.02.098,28315798,"Objective Bone morphogenetic proteins (BMPs) have been commonly used as a graft substitute in spinal fusion. Although the U.S. Food and Drug Administration issued a warning on life-threatening complications of recombinant human BMPs (rhBMPs) in cervical spine fusion in 2008, their off-label use has been continued. This investigation aimed to review the evidence for the use of rhBMP-2 and rhBMP-7 in anterior cervical spine fusions. Methods A comprehensive search was performed through Ovid (MEDLINE), PubMed, and Embase. The risk of bias assessment was according to the recommended criteria by the Cochrane Back and Neck group and MINORS (Methodological Index for Non-Randomized Studies). A wide array of radiographic and clinical outcomes including the adverse events were collated. Results Eighteen articles (1 randomized and 17 nonrandomized) were eligible for inclusion. The fusion rate was higher with use of rhBMP in most studies and our meta-analysis of the pooled data from 4782 patients confirmed this finding (odds ratio, 5.45; P < 0.00001). Altogether, the rhBMP and control groups were comparable in patient-reported outcomes. However, most studies tended to show a significantly higher incidence of overall complication rate, dysphagia/dysphonia, cervical swelling, readmission, wound complications, neurologic complications, and ossification. Conclusions Application of rhBMPs in cervical spine fusion yields a significantly higher fusion rate with similar patient-reported outcomes, yet increased risk of life-threatening complications. Thus, we do not recommend the use of rhBMP in anterior cervical fusions. ? 2017 Elsevier Inc."
623,"Heal C.F., Banks J.L., Lepper P., Kontopantelis E., van Driel M.L.",Meta-analysis of randomized and quasi-randomized clinical trials of topical antibiotics after primary closure for the prevention of surgical-site infection,2017,British Journal of Surgery,10.1002/bjs.10588,28656693,"Background: Surgical-site infections (SSIs) increase patient morbidity and costs. The aim was to identify and synthesize all RCTs evaluating the effect of topical antibiotics on SSI in wounds healing by primary intention. Methods: The search included Ovid MEDLINE, Ovid Embase, the Cochrane Wounds Specialized Register, Central Register of Controlled Trials and EBSCO CINAHL from inception to May 2016. There was no restriction of language, date or setting. Two authors independently selected studies, extracted data and assessed risk of bias. When sufficient numbers of comparable trials were available, data were pooled in meta-analysis. Results: Fourteen RCTs with 6466 participants met the inclusion criteria. Pooling of eight trials (5427 participants) showed that topical antibiotics probably reduced the risk of SSI compared with no topical antibiotic (risk ratio (RR) 0·61, 95 per cent c.i. 0·42 to 0·87; moderate-quality evidence), equating to 20 fewer SSIs per 1000 patients treated. Pooling of three trials (3012 participants) for risk of allergic contact dermatitis found no clear difference between antibiotics and no antibiotic (RR 3·94, 0·46 to 34·00; very low-quality evidence). Pooling of five trials (1299 participants) indicated that topical antibiotics probably reduce the risk of SSI compared with topical antiseptics (RR 0·49, 0·30 to 0·80; moderate-quality evidence); 43 fewer SSIs per 1000 patients treated. Pooling of two trials (541 participants) showed no clear difference in the risk of allergic contact dermatitis with antibiotics or antiseptic agents (RR 0·97, 0·52 to 1·82; very low-quality evidence). Conclusion: Topical antibiotics probably prevent SSI compared with no topical antibiotic or antiseptic. No conclusion can be drawn regarding whether they cause allergic contact dermatitis. ? 2017 BJS Society Ltd Published by John Wiley & Sons Ltd"
624,"Freeman M.C., Garn J.V., Sclar G.D., Boisson S., Medlicott K., Alexander K.T., Penakalapati G., Anderson D., Mahtani A.G., Grimes J.E.T., Rehfuess E.A., Clasen T.F.",The impact of sanitation on infectious disease and nutritional status: A systematic review and meta-analysis,2017,International Journal of Hygiene and Environmental Health,10.1016/j.ijheh.2017.05.007,28602619,"Background Sanitation aims to sequester human feces and prevent exposure to fecal pathogens. More than 2.4 billion people worldwide lack access to improved sanitation facilities and almost one billion practice open defecation. We undertook systematic reviews and meta-analyses to compile the most recent evidence on the impact of sanitation on diarrhea, soil-transmitted helminth (STH) infections, trachoma, schistosomiasis, and nutritional status assessed using anthropometry. Methods and findings We updated previously published reviews by following their search strategy and eligibility criteria. We searched from the previous review's end date to December 31, 2015. We conducted meta-analyses to estimate pooled measures of effect using random-effects models and conducted subgroup analyses to assess impact of different levels of sanitation services and to explore sources of heterogeneity. We assessed risk of bias and quality of the evidence from intervention studies using the Liverpool Quality Appraisal Tool (LQAT) and Grading of Recommendations, Assessment, Development, and Evaluation (GRADE) approach, respectively. A total of 171 studies met the review's inclusion criteria, including 64 studies not included in the previous reviews. Overall, the evidence suggests that sanitation is protective against diarrhea, active trachoma, some STH infections, schistosomiasis, and height-for-age, with no protective effect for other anthropometric outcomes. The evidence was generally of poor quality, heterogeneity was high, and GRADE scores ranged from very low to high. Conclusions This review confirms positive impacts of sanitation on aspects of health. Evidence gaps remain and point to the need for research that rigorously describes sanitation implementation and type of sanitation interventions. ? 2017 The Authors"
625,"Holihan J.L., Hannon C., Goodenough C., Flores-Gonzalez J.R., Itani K.M., Olavarria O., Mo J., Ko T.C., Kao L.S., Liang M.K.",Ventral Hernia Repair: A Meta-Analysis of Randomized Controlled Trials,2017,Surgical Infections,10.1089/sur.2017.029,28557648,"Background: From the patient's perspective, a ventral hernia (VH) can cause pain, adversely affect function, increase size, cosmetically distort the abdomen, and incarcerate/strangulate abdominal contents. The only known ""cure"" for a VH is surgical repair. The aim of this study was to review systematically the published randomized controlled trials (RCTs) of the surgical care of VH. Method: A search of the Ovid, MEDLINE, EMBASE, and Cochrane databases was performed to obtain reports of RCTs on the use of mesh reinforcement in abdominal wall hernia repair. The outcomes assessed were hernia recurrence and surgical site infection (SSI). The overall quality of evidence was assessed using Grading of Recommendations Assessment, Development, and Evaluation (GRADE). When feasible, based on assessment of heterogeneity, data were pooled and analyzed in a meta-analysis. Results: Of the 10,349 titles screened, 25 articles (23 studies) met the search criteria. Evidence indicates that mesh reinforcement in clean cases can decrease hernia recurrence (number needed to treat = 7.9) but increase risk of SSI (number needed to harm = 27.8). Placing mesh in the sublay position (as opposed to the onlay or underlay position) may decrease the risk of hernia recurrence and SSI. Conclusions: Mesh reinforcement is recommended for all VH repairs in a clean case (high grade of evidence). Sublay mesh location may result in fewer recurrences and SSIs than onlay or inlay placement, but further study is needed to confirm this hypothesis (moderate grade of evidence). ? 2017, Mary Ann Liebert, Inc. 2017."
626,"Xu Y., Chen X., Wang K.",Global prevalence of hypertension among people living with HIV: a systematic review and meta-analysis,2017,Journal of the American Society of Hypertension,10.1016/j.jash.2017.06.004,28689734,"The purpose of this study was to estimate, through meta-analysis, the global prevalence of hypertension among people living with HIV (PLWH). A total of 49 studies published during 2011–2016 with 63,554 participants were included in analysis. These studies were conducted in America (25), Europe (13), Africa (10), and Asia (1) with data collected during 1996–2014. Prevalence of hypertension and confidence interval was estimated and stratified by participants’ age, antiretroviral therapy (ART), and calendar-years using random effects modeling. The quality assessed using the Joanna Briggs Institute Prevalence Critical Appraisal Tool was high for all included studies. The estimated prevalence (95% confidence interval) of hypertension was 25.2% (21.2%, 29.6%) for the overall sample, 34.7% (27.4%, 42.8%) for ART-experienced, and 12.7% (7.4%, 20.8%) for ART-na?ve participants. The estimated prevalence was found increased with age and in studies conducted after 2010. Hypertension among PLWH shows an increasing trend and is associated with receiving ART and older age. Findings of this study provide data for decision makers to incorporate blood pressure assessment in primary prevention and for researchers to further investigate factors and mechanisms related to hypertension among PLWH. ? 2017 American Society of Hypertension"
